fid,Sample Site,Site Code,Species Code,Species Latin,Latitude,Longitude,DBH (2020):,DBH Round,Basal.Area,Subsite Code,GS Type,Classification
56,BENNY,P1,PHAM,Phellodendron Amurensis 'His Majesty',45.466761,-73.632052,4.5,5,0.0019625,B13,Park,Public
101,BENNY,P1,ACSC,Acer Saccharum,45.467302,-73.633105,4.5,5,0.0019625,B3,Park,Public
159,BENNY,P1,TIMOHG,Tilia x Mongolica 'Harvest Gold',45.467559,-73.633068,4.5,5,0.0019625,B45,Park,Public
115,BENNY,P1,RHTY,Rhus Typhina,45.4655723,-73.6324726,4.6,5,0.0019625,B34,Park,Public
160,BENNY,P1,PIOM,Picea Omorika,45.467539,-73.633291,4.7,5,0.0019625,B45,Park,Public
163,BENNY,P1,ACFR,Acer Freemannii 'Armstrong',45.466785,-73.631866,4.9,5,0.0019625,B46,Park,Public
65,BENNY,P1,ACFR,Acer Freemannii 'Armstrong',45.466579,-73.631368,5,5,0.0019625,B19,Park,Public
98,BENNY,P1,BENI,Betula Nigra,45.466673,-73.63134,5.1,5,0.0019625,B29,Park,Public
99,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.466636,-73.631152,5.2,5,0.0019625,B29,Park,Public
12,BENNY,P1,CAAB,Caragana Arborescens,45.4663229,-73.6327127,5.3,5,0.0019625,B11,Park,Public
224,BENNY,P1,LADE,Larix Decidua,45.4662161,-73.6334845,5.8,6,0.002826,B7,Park,Public
57,BENNY,P1,LITU,Liriodendron Tulipifera,45.467097,-73.632227,6.1,6,0.002826,B14,Park,Public
176,BENNY,P1,JUCI,Juglans Cinerea,45.4660094,-73.6320126,6.2,6,0.002826,B53,Park,Public
246,BENNY,P1,MABA,Malus Baccata,45.466149,-73.632864,6.2,6,0.002826,B71,Park,Public
116,BENNY,P1,RHTY,Rhus Typhina,45.4655723,-73.632486,6.4,6,0.002826,B34,Park,Public
247,BENNY,P1,MABA,Malus Baccata,45.466127,-73.632815,6.5,7,0.0038465,B71,Park,Public
171,BENNY,P1,LADE,Larix Decidua,45.4663196,-73.6332608,6.7,7,0.0038465,B50,Park,Public
13,BENNY,P1,CEOC,Celtis Occidentalis,45.4663212,-73.6327304,6.8,7,0.0038465,B11,Park,Public
177,BENNY,P1,JUNI,Juglans Nigra,45.465962,-73.631974,6.8,7,0.0038465,B53,Park,Public
237,BENNY,P1,VILE,Viburnum Lentago,45.4669747,-73.6318081,6.8,7,0.0038465,B70,Park,Public
107,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4659946,-73.6329413,7.1,7,0.0038465,B31,Park,Public
117,BENNY,P1,RHTY,Rhus Typhina,45.4655747,-73.6324605,7.1,7,0.0038465,B34,Park,Public
102,BENNY,P1,CEOC,Celtis Occidentalis,45.4672329,-73.6331277,7.2,7,0.0038465,B3,Park,Public
118,BENNY,P1,RHTY,Rhus Typhina,45.4655363,-73.632423,7.3,7,0.0038465,B34,Park,Public
172,BENNY,P1,LADE,Larix Decidua,45.4661484,-73.6335123,7.7,8,0.005024,B51,Park,Public
248,BENNY,P1,MABA,Malus Baccata,45.466106,-73.632763,7.8,8,0.005024,B71,Park,Public
108,BENNY,P1,PNSY,Pinus Sylvestris,45.4658841,-73.6331271,7.9,8,0.005024,B31,Park,Public
178,BENNY,P1,JUCI,Juglans Cinerea,45.4660372,-73.6321061,7.9,8,0.005024,B53,Park,Public
61,BENNY,P1,QUBI,Quercus Bicolor,45.465642,-73.632901,8,8,0.005024,B18,Park,Public
71,BENNY,P1,MABA,Malus Baccata,45.4662023,-73.6329826,8,8,0.005024,B2,Park,Public
187,BENNY,P1,CAAB,Caragana Arborescens,45.4664912,-73.6325618,8.2,8,0.005024,B55,Park,Public
188,BENNY,P1,CAAB,Caragana Arborescens,45.4664807,-73.6326231,8.3,8,0.005024,B55,Park,Public
62,BENNY,P1,PNST,Pinus Strobus,45.4657879,-73.6328894,8.5,9,0.0063585,B18,Park,Public
119,BENNY,P1,RHTY,Rhus Typhina,45.4655069,-73.6324632,8.7,9,0.0063585,B34,Park,Public
179,BENNY,P1,JUNI,Juglans Nigra,45.465997,-73.632003,8.8,9,0.0063585,B53,Park,Public
181,BENNY,P1,GYDI,Gymnocladus Dioicus,45.467182,-73.632321,8.8,9,0.0063585,B54,Park,Public
109,BENNY,P1,PNSY,Pinus Sylvestris,45.4658627,-73.6330231,9.3,9,0.0063585,B31,Park,Public
301,BENNY,P1,ACNE,Acer Negundo,45.4671908,-73.6330721,9.3,9,0.0063585,B83,Park,Public
58,BENNY,P1,MABA,Malus Baccata,45.4669869,-73.6322446,9.4,9,0.0063585,B14,Park,Public
225,BENNY,P1,LADE,Larix Decidua,45.4661703,-73.6334362,10,10,0.00785,B7,Park,Public
59,BENNY,P1,MABA,Malus Baccata,45.4669528,-73.6322597,10.1,10,0.00785,B14,Park,Public
110,BENNY,P1,PNSY,Pinus Sylvestris,45.4659088,-73.6330037,10.3,10,0.00785,B31,Park,Public
189,BENNY,P1,CAAB,Caragana Arborescens,45.4664988,-73.6325997,10.3,10,0.00785,B55,Park,Public
190,BENNY,P1,CAAB,Caragana Arborescens,45.4665124,-73.6325986,10.4,10,0.00785,B55,Park,Public
133,BENNY,P1,ULXXFR,Ulmus 'Frontier',45.46641,-73.632828,10.5,11,0.0094985,B37,Park,Public
148,BENNY,P1,QUMA,Quercus Macrocarpa,45.46572,-73.6328146,10.7,11,0.0094985,B42,Park,Public
191,BENNY,P1,CAAB,Caragana Arborescens,45.4664988,-73.6326117,11.3,11,0.0094985,B55,Park,Public
147,BENNY,P1,CAAB,Caragana Arborescens,45.4668449,-73.632708,11.7,12,0.011304,B41,Park,Public
284,BENNY,P1,PIAB,Picea Abies,45.4661402,-73.6323083,12,12,0.011304,B82,Park,Public
74,BENNY,P1,PIAB,Picea Abies,45.466705,-73.631407,12.1,12,0.011304,B20,Park,Public
238,BENNY,P1,MABA,Malus Baccata,45.467089,-73.631993,12.1,12,0.011304,B70,Park,Public
14,BENNY,P1,THOC,Thuja Occidentalis,45.4662871,-73.6327341,12.3,12,0.011304,B11,Park,Public
15,BENNY,P1,THOC,Thuja Occidentalis,45.4662998,-73.632768,12.3,12,0.011304,B11,Park,Public
66,BENNY,P1,PIAB,Picea Abies,45.466615,-73.63124,12.3,12,0.011304,B19,Park,Public
192,BENNY,P1,CAAB,Caragana Arborescens,45.4664626,-73.632593,12.3,12,0.011304,B55,Park,Public
193,BENNY,P1,CAAB,Caragana Arborescens,45.4664901,-73.6325745,12.3,12,0.011304,B55,Park,Public
239,BENNY,P1,VILE,Viburnum Lentago,45.4669846,-73.6317635,12.3,12,0.011304,B70,Park,Public
78,BENNY,P1,MABA,Malus Baccata,45.467512,-73.63321,12.4,12,0.011304,B21,Park,Public
313,BENNY,P1,GYDI,Gymnocladus Dioicus,45.466066,-73.632683,12.5,13,0.0132665,B90,Park,Public
16,BENNY,P1,CAAB,Caragana Arborescens,45.4663328,-73.6327435,12.6,13,0.0132665,B11,Park,Public
285,BENNY,P1,THOC,Thuja Occidentalis,45.4661905,-73.6323472,12.6,13,0.0132665,B82,Park,Public
75,BENNY,P1,PIAB,Picea Abies,45.466656,-73.631404,12.8,13,0.0132665,B20,Park,Public
182,BENNY,P1,GYDI,Gymnocladus Dioicus,45.467205,-73.6323,13,13,0.0132665,B54,Park,Public
208,BENNY,P1,THOC,Thuja Occidentalis,45.466167,-73.6317757,13,13,0.0132665,B60,Park,Public
1,BENNY,P1,LALA,Larix Laricina,45.466129,-73.633357,13.1,13,0.0132665,B10,Park,Public
120,BENNY,P1,RHTY,Rhus Typhina,45.4655034,-73.6324354,13.2,13,0.0132665,B34,Park,Public
17,BENNY,P1,THOC,Thuja Occidentalis,45.4662822,-73.6327707,13.3,13,0.0132665,B11,Park,Public
166,BENNY,P1,QUMA,Quercus Macrocarpa,45.4661294,-73.6330885,13.4,13,0.0132665,B49,Park,Public
240,BENNY,P1,MABA,Malus Baccata,45.467075,-73.631961,13.4,13,0.0132665,B70,Park,Public
76,BENNY,P1,PIAB,Picea Abies,45.466687,-73.631451,13.5,14,0.015386,B20,Park,Public
286,BENNY,P1,PIAB,Picea Abies,45.4661136,-73.632319,13.5,14,0.015386,B82,Park,Public
287,BENNY,P1,THOC,Thuja Occidentalis,45.4661668,-73.6323459,13.5,14,0.015386,B82,Park,Public
241,BENNY,P1,MABA,Malus Baccata,45.467103,-73.632034,13.6,14,0.015386,B70,Park,Public
2,BENNY,P1,LALA,Larix Laricina,45.466133,-73.63329,13.7,14,0.015386,B10,Park,Public
217,BENNY,P1,QUMA,Quercus Macrocarpa,45.465839,-73.6328042,13.7,14,0.015386,B64,Park,Public
72,BENNY,P1,ULXXFR,Ulmus 'Frontier',45.466311,-73.632914,14,14,0.015386,B2,Park,Public
67,BENNY,P1,SOAU,Sorbus Aucuparia,45.466501,-73.631304,14.1,14,0.015386,B19,Park,Public
18,BENNY,P1,THOC,Thuja Occidentalis,45.4662314,-73.6327643,14.3,14,0.015386,B11,Park,Public
19,BENNY,P1,THOC,Thuja Occidentalis,45.4662763,-73.6327345,14.3,14,0.015386,B11,Park,Public
20,BENNY,P1,THOC,Thuja Occidentalis,45.4662853,-73.6327351,14.3,14,0.015386,B11,Park,Public
218,BENNY,P1,PNST,Pinus Strobus,45.4658606,-73.6327231,14.3,14,0.015386,B64,Park,Public
249,BENNY,P1,THOC,Thuja Occidentalis,45.4661713,-73.6327844,14.3,14,0.015386,B71,Park,Public
288,BENNY,P1,THOC,Thuja Occidentalis,45.4661776,-73.6323422,14.3,14,0.015386,B82,Park,Public
194,BENNY,P1,CAAB,Caragana Arborescens,45.4664828,-73.6326238,14.4,14,0.015386,B55,Park,Public
314,BENNY,P1,THOC,Thuja Occidentalis,45.466132,-73.6326912,14.4,14,0.015386,B90,Park,Public
21,BENNY,P1,CAAB,Caragana Arborescens,45.4663527,-73.632722,14.5,15,0.0176625,B11,Park,Public
121,BENNY,P1,CAGL,Carya Glabra,45.4655309,-73.6323415,14.5,15,0.0176625,B34,Park,Public
22,BENNY,P1,THOC,Thuja Occidentalis,45.4662474,-73.6327703,14.6,15,0.0176625,B11,Park,Public
23,BENNY,P1,THOC,Thuja Occidentalis,45.4663078,-73.6327643,14.6,15,0.0176625,B11,Park,Public
183,BENNY,P1,MABA,Malus Baccata,45.467176,-73.632199,14.6,15,0.0176625,B54,Park,Public
302,BENNY,P1,VILE,Viburnum Lentago,45.4672079,-73.6331147,14.6,15,0.0176625,B83,Park,Public
289,BENNY,P1,PIAB,Picea Abies,45.4661686,-73.6322765,15,15,0.0176625,B82,Park,Public
184,BENNY,P1,MABA,Malus Baccata,45.467158,-73.632161,15.2,15,0.0176625,B54,Park,Public
290,BENNY,P1,PIAB,Picea Abies,45.4661261,-73.6322721,15.2,15,0.0176625,B82,Park,Public
24,BENNY,P1,CAAB,Caragana Arborescens,45.4663436,-73.6327455,15.3,15,0.0176625,B11,Park,Public
278,BENNY,P1,THOC,Thuja Occidentalis,45.4660092,-73.6324511,15.3,15,0.0176625,B80,Park,Public
195,BENNY,P1,CAAB,Caragana Arborescens,45.4665058,-73.6325987,15.4,15,0.0176625,B55,Park,Public
250,BENNY,P1,THOC,Thuja Occidentalis,45.4661564,-73.6327375,15.4,15,0.0176625,B71,Park,Public
111,BENNY,P1,PNSY,Pinus Sylvestris,45.4659575,-73.6329785,15.5,16,0.020096,B31,Park,Public
25,BENNY,P1,THOC,Thuja Occidentalis,45.4662719,-73.6327894,15.7,16,0.020096,B11,Park,Public
196,BENNY,P1,CAAB,Caragana Arborescens,45.4664677,-73.6326329,15.7,16,0.020096,B55,Park,Public
251,BENNY,P1,THOC,Thuja Occidentalis,45.4661879,-73.6327603,16.2,16,0.020096,B71,Park,Public
167,BENNY,P1,PNSY,Pinus Sylvestris,45.4656631,-73.6325296,16.3,16,0.020096,B5,Park,Public
197,BENNY,P1,CAAB,Caragana Arborescens,45.4664722,-73.6326355,16.3,16,0.020096,B55,Park,Public
252,BENNY,P1,THOC,Thuja Occidentalis,45.4661919,-73.6327619,16.3,16,0.020096,B71,Park,Public
291,BENNY,P1,THOC,Thuja Occidentalis,45.4661837,-73.6323559,16.3,16,0.020096,B82,Park,Public
26,BENNY,P1,THOC,Thuja Occidentalis,45.4662455,-73.6327485,16.4,16,0.020096,B11,Park,Public
27,BENNY,P1,CAAB,Caragana Arborescens,45.4663288,-73.6327418,16.4,16,0.020096,B11,Park,Public
253,BENNY,P1,THOC,Thuja Occidentalis,45.466143,-73.6327043,16.4,16,0.020096,B71,Park,Public
292,BENNY,P1,THOC,Thuja Occidentalis,45.4662016,-73.6323439,16.4,16,0.020096,B82,Park,Public
3,BENNY,P1,LALA,Larix Laricina,45.466145,-73.633212,16.5,17,0.0226865,B10,Park,Public
28,BENNY,P1,THOC,Thuja Occidentalis,45.4662968,-73.6327817,16.5,17,0.0226865,B11,Park,Public
254,BENNY,P1,THOC,Thuja Occidentalis,45.4661823,-73.6327982,16.7,17,0.0226865,B71,Park,Public
198,BENNY,P1,CAAB,Caragana Arborescens,45.4664894,-73.6326201,17.2,17,0.0226865,B55,Park,Public
29,BENNY,P1,THOC,Thuja Occidentalis,45.4662796,-73.6327435,17.3,17,0.0226865,B11,Park,Public
242,BENNY,P1,VILE,Viburnum Lentago,45.4670102,-73.6317776,17.3,17,0.0226865,B70,Park,Public
255,BENNY,P1,THOC,Thuja Occidentalis,45.4661355,-73.6326976,17.3,17,0.0226865,B71,Park,Public
30,BENNY,P1,THOC,Thuja Occidentalis,45.4662227,-73.6328059,17.5,18,0.025434,B11,Park,Public
199,BENNY,P1,CAAB,Caragana Arborescens,45.4665016,-73.6325779,17.6,18,0.025434,B55,Park,Public
256,BENNY,P1,THOC,Thuja Occidentalis,45.4661938,-73.6327777,17.7,18,0.025434,B71,Park,Public
68,BENNY,P1,PIAB,Picea Abies,45.466612,-73.631319,17.9,18,0.025434,B19,Park,Public
306,BENNY,P1,CTSP,Catalpa Speciosa,45.465731,-73.632301,18.1,18,0.025434,B87,Park,Public
31,BENNY,P1,THOC,Thuja Occidentalis,45.4662361,-73.6327737,18.2,18,0.025434,B11,Park,Public
32,BENNY,P1,THOC,Thuja Occidentalis,45.4662288,-73.6328018,18.3,18,0.025434,B11,Park,Public
33,BENNY,P1,THOC,Thuja Occidentalis,45.4662935,-73.6327559,18.3,18,0.025434,B11,Park,Public
34,BENNY,P1,CAAB,Caragana Arborescens,45.466353,-73.6327026,18.3,18,0.025434,B11,Park,Public
122,BENNY,P1,RHTY,Rhus Typhina,45.4655149,-73.6324622,18.3,18,0.025434,B34,Park,Public
200,BENNY,P1,CAAB,Caragana Arborescens,45.4664927,-73.6325722,18.3,18,0.025434,B55,Park,Public
35,BENNY,P1,CAAB,Caragana Arborescens,45.4663506,-73.6327187,18.4,18,0.025434,B11,Park,Public
201,BENNY,P1,CAAB,Caragana Arborescens,45.4664884,-73.6325859,18.4,18,0.025434,B55,Park,Public
293,BENNY,P1,THOC,Thuja Occidentalis,45.4661722,-73.6323576,18.4,18,0.025434,B82,Park,Public
36,BENNY,P1,THOC,Thuja Occidentalis,45.4662629,-73.6327395,18.6,19,0.0283385,B11,Park,Public
4,BENNY,P1,PNSY,Pinus Sylvestris,45.4660066,-73.6332531,18.7,19,0.0283385,B10,Park,Public
185,BENNY,P1,GYDI,Gymnocladus Dioicus,45.467179,-73.632283,18.9,19,0.0283385,B54,Park,Public
294,BENNY,P1,PIAB,Picea Abies,45.4661656,-73.6322382,18.9,19,0.0283385,B82,Park,Public
37,BENNY,P1,THOC,Thuja Occidentalis,45.4662399,-73.632766,19.3,19,0.0283385,B11,Park,Public
123,BENNY,P1,RHTY,Rhus Typhina,45.4655469,-73.6324428,19.4,19,0.0283385,B34,Park,Public
257,BENNY,P1,THOC,Thuja Occidentalis,45.466182,-73.6327512,19.7,20,0.0314,B71,Park,Public
258,BENNY,P1,THOC,Thuja Occidentalis,45.4661491,-73.6327187,19.8,20,0.0314,B71,Park,Public
124,BENNY,P1,JUNI,Juglans Nigra,45.465592,-73.632351,19.9,20,0.0314,B34,Park,Public
295,BENNY,P1,THOC,Thuja Occidentalis,45.4661559,-73.6323693,20.2,20,0.0314,B82,Park,Public
38,BENNY,P1,THOC,Thuja Occidentalis,45.4663304,-73.6327402,20.3,20,0.0314,B11,Park,Public
103,BENNY,P1,ACNE,Picea Pungens,45.467366,-73.633222,20.3,20,0.0314,B3,Park,Public
303,BENNY,P1,ACNE,Acer Negundo,45.467187,-73.6330868,20.3,20,0.0314,B83,Park,Public
202,BENNY,P1,CAAB,Caragana Arborescens,45.4664767,-73.6326074,20.4,20,0.0314,B55,Park,Public
296,BENNY,P1,THOC,Thuja Occidentalis,45.4661881,-73.6323382,20.5,21,0.0346185,B82,Park,Public
161,BENNY,P1,PRVISC,Prunus Virginiana 'Schubert',45.467528,-73.633235,20.6,21,0.0346185,B45,Park,Public
168,BENNY,P1,JUCI,Juglans Cinerea,45.465788,-73.63237,20.6,21,0.0346185,B5,Park,Public
88,BENNY,P1,PIGL,Picea Glauca,45.467421,-73.632856,20.9,21,0.0346185,B25,Park,Public
315,BENNY,P1,THOC,Thuja Occidentalis,45.4661312,-73.6326875,21.1,21,0.0346185,B90,Park,Public
5,BENNY,P1,PNSY,Pinus Sylvestris,45.4659873,-73.6332136,21.2,21,0.0346185,B10,Park,Public
39,BENNY,P1,THOC,Thuja Occidentalis,45.4661976,-73.6327747,21.3,21,0.0346185,B11,Park,Public
79,BENNY,P1,PIGL,Picea Glauca,45.467417,-73.633123,21.4,21,0.0346185,B21,Park,Public
73,BENNY,P1,ACPL,Acer Platanoides,45.466246,-73.632923,21.5,22,0.037994,B2,Park,Public
297,BENNY,P1,THOC,Thuja Occidentalis,45.4660252,-73.6324371,21.5,22,0.037994,B82,Park,Public
40,BENNY,P1,THOC,Thuja Occidentalis,45.4662535,-73.6327475,22.3,22,0.037994,B11,Park,Public
186,BENNY,P1,MABA,Malus Baccata,45.467143,-73.632116,22.6,23,0.0415265,B54,Park,Public
104,BENNY,P1,PIPU,Picea Pungens,45.467307,-73.6332,22.8,23,0.0415265,B3,Park,Public
149,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4657254,-73.6326882,22.8,23,0.0415265,B42,Park,Public
279,BENNY,P1,THOC,Thuja Occidentalis,45.4660118,-73.6324277,23,23,0.0415265,B80,Park,Public
6,BENNY,P1,PNSY,Pinus Sylvestris,45.4660257,-73.6333121,23.2,23,0.0415265,B10,Park,Public
129,BENNY,P1,PNSY,Pinus Sylvestris,45.4659556,-73.6331763,23.2,23,0.0415265,B36,Park,Public
162,BENNY,P1,JUNI,Juglans Nigra,45.467567,-73.633204,23.3,23,0.0415265,B45,Park,Public
41,BENNY,P1,THOC,Thuja Occidentalis,45.4662124,-73.6328069,23.4,23,0.0415265,B11,Park,Public
203,BENNY,P1,CAAB,Caragana Arborescens,45.4664668,-73.6326164,23.4,23,0.0415265,B55,Park,Public
60,BENNY,P1,ACPL,Acer Platanoides,45.467384,-73.632977,23.6,24,0.045216,B16,Park,Public
134,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.465728,-73.6320428,23.8,24,0.045216,B38,Park,Public
277,BENNY,P1,ACPL,Acer Platanoides,45.4663746,-73.6331723,24,24,0.045216,B8,Park,Public
169,BENNY,P1,TICO,Tilia Cordata,45.465683,-73.63236,24.1,24,0.045216,B5,Park,Public
42,BENNY,P1,THOC,Thuja Occidentalis,45.466202,-73.6327418,24.3,24,0.045216,B11,Park,Public
150,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4656885,-73.6326895,24.5,25,0.0490625,B42,Park,Public
226,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4662041,-73.6336638,24.5,25,0.0490625,B7,Park,Public
243,BENNY,P1,ACSA,Acer Saccharinum,45.467013,-73.631927,24.5,25,0.0490625,B70,Park,Public
95,BENNY,P1,PIPU,Picea Pungens,45.467362,-73.632695,24.6,25,0.0490625,B28,Park,Public
43,BENNY,P1,THOC,Thuja Occidentalis,45.466207,-73.6328045,24.9,25,0.0490625,B11,Park,Public
151,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4658077,-73.6326161,24.9,25,0.0490625,B42,Park,Public
89,BENNY,P1,PIGL,Picea Glauca,45.467465,-73.632904,25,25,0.0490625,B25,Park,Public
280,BENNY,P1,THOC,Thuja Occidentalis,45.4660047,-73.6324297,25.1,25,0.0490625,B80,Park,Public
105,BENNY,P1,PIGL,Picea Glauca,45.46727,-73.633144,25.2,25,0.0490625,B3,Park,Public
219,BENNY,P1,PIGL,Picea Glauca,45.4659554,-73.6328347,25.2,25,0.0490625,B64,Park,Public
44,BENNY,P1,THOC,Thuja Occidentalis,45.466238,-73.6327904,25.3,25,0.0490625,B11,Park,Public
45,BENNY,P1,THOC,Thuja Occidentalis,45.4661997,-73.6328143,25.4,25,0.0490625,B11,Park,Public
46,BENNY,P1,THOC,Thuja Occidentalis,45.4662462,-73.6327814,25.6,26,0.053066,B11,Park,Public
90,BENNY,P1,ACPL,Acer Platanoides,45.467441,-73.633026,25.6,26,0.053066,B25,Park,Public
281,BENNY,P1,THOC,Thuja Occidentalis,45.4659986,-73.632428,25.6,26,0.053066,B80,Park,Public
304,BENNY,P1,VILE,Viburnum Lentago,45.4672223,-73.6331247,25.6,26,0.053066,B83,Park,Public
47,BENNY,P1,THOC,Thuja Occidentalis,45.4661966,-73.6327851,25.7,26,0.053066,B11,Park,Public
80,BENNY,P1,PIPU,Picea Pungens,45.467411,-73.63322,25.7,26,0.053066,B21,Park,Public
48,BENNY,P1,THOC,Thuja Occidentalis,45.4662023,-73.6327385,26,26,0.053066,B11,Park,Public
93,BENNY,P1,GYDI,Gymnocladus Dioicus,45.466663,-73.634161,26,26,0.053066,B27,Park,Public
244,BENNY,P1,ACSA,Acer Saccharinum,45.467048,-73.632009,26,26,0.053066,B70,Park,Public
267,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4655862,-73.6321739,26,26,0.053066,B78,Park,Public
227,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4662346,-73.6335059,26.1,26,0.053066,B7,Park,Public
49,BENNY,P1,THOC,Thuja Occidentalis,45.4662154,-73.6328156,26.2,26,0.053066,B11,Park,Public
96,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.467344,-73.63255,26.2,26,0.053066,B28,Park,Public
50,BENNY,P1,THOC,Thuja Occidentalis,45.4662486,-73.6328099,26.3,26,0.053066,B11,Park,Public
135,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4658369,-73.6319606,26.3,26,0.053066,B38,Park,Public
51,BENNY,P1,THOC,Thuja Occidentalis,45.4662352,-73.6327951,26.4,26,0.053066,B11,Park,Public
298,BENNY,P1,THOC,Thuja Occidentalis,45.466198,-73.6323184,26.8,27,0.0572265,B82,Park,Public
84,BENNY,P1,PNSY,Pinus Sylvestris,45.4655932,-73.6326007,26.9,27,0.0572265,B24,Park,Public
209,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4663577,-73.6335408,26.9,27,0.0572265,B61,Park,Public
228,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4662467,-73.6335716,26.9,27,0.0572265,B7,Park,Public
245,BENNY,P1,VILE,Viburnum Lentago,45.4670149,-73.6317668,27.1,27,0.0572265,B70,Park,Public
52,BENNY,P1,THOC,Thuja Occidentalis,45.466203,-73.6327459,27.5,28,0.061544,B11,Park,Public
106,BENNY,P1,PIGL,Picea Glauca,45.467383,-73.633127,27.6,28,0.061544,B3,Park,Public
283,BENNY,P1,ROPS,Robinia Pseudoacacia,45.466873,-73.63223,28,28,0.061544,B81,Park,Public
307,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.465676,-73.6321045,28.3,28,0.061544,B87,Park,Public
308,BENNY,P1,PIAB,Picea Abies,45.4658333,-73.6321192,28.4,28,0.061544,B87,Park,Public
259,BENNY,P1,PIAB,Picea Abies,45.4654301,-73.6322758,28.5,29,0.0660185,B72,Park,Public
309,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4656842,-73.6322258,28.5,29,0.0660185,B87,Park,Public
152,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4658032,-73.6326734,28.8,29,0.0660185,B42,Park,Public
310,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4656821,-73.6321539,29.3,29,0.0660185,B87,Park,Public
204,BENNY,P1,ULPU,Ulmus Pumila,45.4665561,-73.6337306,29.4,29,0.0660185,B56,Park,Public
53,BENNY,P1,CAAB,Caragana Arborescens,45.4663116,-73.6327586,29.6,30,0.07065,B11,Park,Public
91,BENNY,P1,ACPL,Acer Platanoides,45.467494,-73.633052,29.6,30,0.07065,B25,Park,Public
205,BENNY,P1,TIAM,Tilia Americana,45.466907,-73.633918,29.6,30,0.07065,B57,Park,Public
272,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4659065,-73.6322245,29.7,30,0.07065,B79,Park,Public
260,BENNY,P1,PIPU,Picea Pungens,45.4654294,-73.6322252,30.1,30,0.07065,B72,Park,Public
136,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4657807,-73.6319922,30.5,31,0.0754385,B38,Park,Public
137,BENNY,P1,PIGL,Picea Glauca,45.4658002,-73.6320911,30.7,31,0.0754385,B38,Park,Public
7,BENNY,P1,PNSY,Pinus Sylvestris,45.4660395,-73.6333111,30.8,31,0.0754385,B10,Park,Public
145,BENNY,P1,TIAM,Tilia Americana,45.467117,-73.632882,30.8,31,0.0754385,B40,Park,Public
210,BENNY,P1,ACPL,Acer Platanoides,45.4664941,-73.6334737,30.9,31,0.0754385,B61,Park,Public
229,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4662086,-73.6335884,31,31,0.0754385,B7,Park,Public
230,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4662274,-73.6336591,31.1,31,0.0754385,B7,Park,Public
138,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.465676,-73.632006,31.2,31,0.0754385,B38,Park,Public
261,BENNY,P1,PIPU,Picea Pungens,45.4654693,-73.6322077,31.4,31,0.0754385,B72,Park,Public
268,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4656478,-73.6321454,31.4,31,0.0754385,B78,Park,Public
206,BENNY,P1,TIAM,Tilia Americana,45.466973,-73.63386,31.5,32,0.080384,B57,Park,Public
153,BENNY,P1,PNSY,Pinus Sylvestris,45.4657684,-73.6326419,31.9,32,0.080384,B42,Park,Public
8,BENNY,P1,PNSY,Pinus Sylvestris,45.4660899,-73.6332749,32,32,0.080384,B10,Park,Public
54,BENNY,P1,THOC,Thuja Occidentalis,45.4661961,-73.6327408,32.1,32,0.080384,B11,Park,Public
130,BENNY,P1,PNSY,Pinus Sylvestris,45.4659276,-73.6331763,32.1,32,0.080384,B36,Park,Public
55,BENNY,P1,CAAB,Caragana Arborescens,45.4663631,-73.6327143,32.3,32,0.080384,B11,Park,Public
220,BENNY,P1,TIAM,Tilia Americana,45.467035,-73.633806,32.3,32,0.080384,B67,Park,Public
97,BENNY,P1,PIPU,Picea Pungens,45.467339,-73.632651,32.5,33,0.0854865,B28,Park,Public
154,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.4657694,-73.6326848,32.5,33,0.0854865,B42,Park,Public
316,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.466042,-73.632497,32.5,33,0.0854865,B90,Park,Public
299,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',45.466053,-73.632393,33,33,0.0854865,B82,Park,Public
311,BENNY,P1,PIGL,Picea Glauca,45.4658242,-73.6321786,33.2,33,0.0854865,B87,Park,Public
